title,company,description,location
Data Analyst,axonify,axonify intelgent workforce enablement solution supports frontne workers beeve frontne employees shod empowered tools knowledge support inspired great work every day offer bite sized learning experience gamified training reinforcement two way real time communication solution personazed experience fits seamlessly flow work data analyst partner product development teams dever proactive insights data products user facing reports help add value enable data informed decisions axonify user base internal stakeholders things build maintain user facing reports help axonify customers gain insights user base surface opportunities help customers grow workforce partner product dev teams conduct product feature analyses ensure data schemas new features support future analytics data product needs experimentation b testing build dashboards visuazations assess product health collaborate various cross functional stakeholders including product managers engineers designers ux researchers data engineers data warehouse engineers address ad hoc data needs work projects related organizing analyzing data integral part data org leveraging contributing vibrant knowledge base shared across community world class data experts course duties support axonifam build skillsthe things bring professional experience years experience data analytics related quantitative roles experience dashboarding tools e g looker periscope sisense asset technical skills strong proficiency relational database e g sql statistical analysis programming languages e g r python knowledge demonstrated understanding data warehousing concepts appes analytics reports data acumen sod foundation statistics proficiency fundamental statistical techniques tests near regression etc problem solving mindset demonstrated abity take defined problems solve structured hypothesis driven data supported waycommunication skills demonstrated abity communicate discuss complex topics technical non technical audienceswork location flexibity choose work office virtually combination provided tools resources support ensure success regardless physically work things enjoy impactf product gives back communities frontne workers support everyday ves people great attitudes lead great rests values collaborate bold get done erse axonifam celebrates unique perspectives experiences add richness cture leaders trust deeply leverage skills adapt us iniduals encourage us best selves flexibity choice early riser great offer flexible work hours prefer work home office problem operate hybrid model work location supports personal professional fe mac pc take pick want equipment comfortable east west coast employees span across canada us uk eid christmas flexible hoday program supports take days matter professional growth learning experts excitement goes beyond product offer axonifiers daily learning continual growth broad experiences also offer professional growth spending account encourage developmenteven outside work hours wellbeing supports ves away work love also love ves away axonify encourage employees enjoy personal ves generous vacation time axonify hodays personal days competitive benefits wellness spending account house workshops yoga financial planning mental wellbeing self care ready join axonifam next know bring may look exactly ke sted ok check every box check great welcome chance get know bring add cture hear unique story beeve team unique fe experiences backgrounds ctures beefs abities add richness cture depth ideas ongoing commitment ersity inclusion creates environment supports empowers devers sense belonging members axonifam journey continuous always learning adapting know help grow achieve amazing things together want remove barriers may mit joining axonify email us accessibity axonify com let us know provide reasonable accommodations candidate journey,"Waterloo, Ontario, Canada"
Data Analyst,b systems,ideal candidate use passion big data analytics provide insights business covering range topics responsible conducting recurring ad hoc analysis business users responsibitiesunderstand day day issues business faces better understood data compile analyze data related business issues develop clear visuazations convey compcated data straightforward fashionquaficationsbachelor master degree statistics apped mathematics equivalent experience years data analysis experience proficient sql,"Toronto, Ontario, Canada"
Data Analyst,wood mackenzie,company descriptionwood mackenzie global leader data analysis consting across energy chemicals metals mining power renewables sectors founded success always underpinned simple principle providing trusted research advice makes difference customers today customers ranging largest global energy companies financial institutions governments well smaller market speciasts teams located around world enables us stay closely connected customers markets sectors cover collectively allows us offer compelng combination global commodity analysis detailed local market knowledge committed supporting people grow thrive value different perspectives aspire create inclusive environment encourages ersity fosters sense belonging committed creating workplace works encourage everyone get involved wellness diversity inclusion community engagement initiatives actively support flexible working happy consider alternative work patterns taking account needs needs team ision looking join hear team say working us https www woodmac com careers people proud part verisk family companies heart help cents manage risk verisk nasdaq vrsk provides data insights customers insurance energy financial services markets make faster informed decisions global team uses ai machine learning automation emerging technologies collect analyze bilons records provide advanced decision support prevent credit lending cyber risks addition monitor advise companies complex global matters cmate change catastrophes geopotical issues work sets us apart stems commitment making world better safer stronger reason verisk part un global compact sustainabity initiative made commitment balancing percent carbon emissions aim returnship program experienced professionals rejoining workforce time away drives annual innovation day identify next first market innovations solve customers problems core verisk uses data minimize risk maximize value far bigger verisk build exciting career meaningf work create positive lasting impact business find support coaching training need advance career received great place work certification fifth consecutive year recognized forbes world best employer best employer women testaments cture engagement value place inclusive erse workforce verisk statement racial equity diversity supports commitment values affecting positive lasting change communities work job descriptiondata foundation high value analytics research based ensuring quaty critical part expertise working numbers building processes problem solving attention detail read looking data analysts support ingestion processing management quaty control proprietary datasets working part dynamic team play valuable part ongoing transformations expand data offerings leading higher value analytics perfect day consist analyzing complex information find usef insights connections ke sce dice data provide critical solutions usef company cents ke fun strong desire learn new tools technologies solve business problems job job responsibitiesyour focus devering value cents enhancing quaty coverage upstream datasets called implement processes monitor data quaty devise means resolve identified issues background well data stand good stead strong technical skills required support work one architects production processes directly impact users opportunities grow wood mackenzie cements transition latest technologies expand dataset coverage enhance analytics called upon support development need flexible able manage time workload since priorities change short notice business needs arise level appointment regarding band company banding structure dependent skills experience capabities demonstrated assessment prior offer employment quaficationsabout excel rolein particaryou bring combination experience data management strong foundation technical skills enable work large varied datasets experience working resolving complex issues require exceptional attention detail experience addressing data quaty mastering key techniques data profing data vadation data quaty evaluation leveraging software programing open source braries experience using modarized programing implement enhance complex systems data management logic handng repeatable scalable manner keen eminate inefficiencies working knowledge supporting stakeholders strong communication skills understand needs convey responses strong coding skills demonstrated use python also welcome knowledge pyspark excel vba cloud technologies strong team working communication skills knowledge oil gas industry oil gas datasets preferred minimum bachelor degree required related field study mathematics engineering computer science please submit resume cover letter outning knowledge skills experience make suitable candidate additional informationverisk analytics amazing story tell forbes magazine named verisk world innovative companies st third consecutive year america best mid size employers st also earned great place work certification second consecutive year recognition outstanding workplace cture verisk leading data analytics provider serving customers insurance natural resources financial services devering data analytics decision support services customers years helping protect people property financial assets verisk part organization committed serving long term interests stakeholders including communities operate verisk build exciting career meaningf work create positive lasting impact business find support coaching training need advance career cture innovation means ideas improve business heard key contributors success team members enjoy working business casual collaborative environment offers state art resources advanced technologies excellent benefits package verisk analytics equal opportunity employer members verisk analytics family companies equal opportunity employers consider quafied appcants employment without regard race region color national origin citizenship sex gender identity expression sexual orientation veteran status age disabity http www verisk com careers htmlunsocited resumes sent verisk including unsocited resumes sent verisk business maing address fax machine email address directly verisk employees considered verisk property verisk pay fee placement resting receipt unsocited resume,"Calgary, Alberta, Canada"
Data Analyst,loft community services,part time permanent positiondate november th location toronto pqicompensation prorated shift days week loft community services unique dynamic charitable organization supports people ving compcated issues mental physical health challenges substance abuse poverty homelessness serving approximately annually providing units supportive housing last year loft one ontario largest mental health service providers kind loft stands leap faith together employees opportunity take calcated risks lead way creation implementation evaluation system wide solutions work hard care passionately celebrate staff key success loft recognized nonprofit employer choice award neoc recipient beeve lofty cture core everything loft recognized nonprofit employer choice award neoc recipient help ffill mission loft hiring data analyst job summary data analyst work members performance quaty improvement team meet internal business reporting needs loft staff program directors senior management produce regar external reports inidual involved maintenance bi reporting analytics quaty performance improvement initiatives note loft employees required fly covid vaccinated condition hire accordance loft vaccination pocy satisfactory vnerable sector check vsc also required dever maintain weekly monthly quarterly reporting products various stakeholders including comping reports external reporting agencies e g ontario health coordinate manager execute pertinent data analysis support strategic business needs decision making process work senior performance analysts identify performance gaps estabsh follow action plans work team members develop new reports turn data actionable insights key stakeholders support reporting technology projects participating requirements gathering process extracting analyzing data creating maintaining appropriate documentation e g functional specifications use cases workflow diagrams project charters plans indicator specifications etc support department development presentation material required participate qa uat process related data warehouse business intelgence report development work team members conduct data quaty investigations engage continuous data quaty improvements bring university degree computer science analytics statistics epidemiology health informatics equivalent combination education experience years relevant work experience understanding ontario healthcare system organization pocies data structures abity manipate work large data sets strong data visuazation skills knowledge translation skills experience microsoft office tools including excel word powerpoint required self reant exploring extracting analyzing presenting information excel pivottables dashboards etc wilngness tackle complex challenges well routine maintenance administrative tasks strong organizational skills abity manage mtiple tasks parallel strong problem solving skills demonstrated abity think critically strategically detail oriented process driven demonstrated abity consistently effectively produce high quaty work excellent oral written communication skills abity explain complex concepts manner simple easy understand proven team player strong interpersonal skills including abity resolve confcts diplomacy achieve consensus able work comfortably staff external stakeholders including cnicians innovative thinker abity develop creative solutions complex problems experience ms sql microstrategy asset experience python r asset experience process mapping tools techniques asset experience healthcare asset understanding ctural competency anti oppression framework reflective mti barriered group serviced program strong asset apply send resume cover letter human resources email hr loftcs orgloft community services committed fostering inclusive accessible environment dedicated building workforce reflects ersity community serve loft committed making employment opportunities accessible accordance accessibity ontarians disabities act requested accommodation provided parts appcation hiring process contacting hr loftcs org welcome encourage people equity deserving communities intersecting identities apply position please include data analyst pqi subject ne emails closing date december th,"Toronto, Ontario, Canada"
Data Analyst,nam info inc,position data analystwork locations toronto ontario day one onsite hybrid model days week office visit duration months contract job description data analyst want hands data analyst person business analyst background expert sql must handle complex queries also person shod know kafka nice along api micsro services development background develop api team,"Toronto, Ontario, Canada"
Data Analyst,citi,job id role data analyst part engineering team key responsibities include mited identify analyze interpret trends patterns complex data setsvadate data identify potential issues anomaes investigate data issues find root causes traversing back across mtiple hops data neage implement propose solutions data issuesarticate present data analysis trends patterns various stakeholders facitate implementation coordinating different stakeholders get missing information addressing data issues timely closures showcase technical expertise regarding data models database design development data mining segmentation techniquesworking extensively rdbms distributed databases hadoop file system required quafications years experience data focused initiatives across sdlc bachelor degree similar years analytical skills abity collect organize analyze disseminate significant amounts information attention detail accuracy years experience using sql pl sql analyzing data relational databasesabity perform data analysis distributed databasesadept preparing detailed summary reports presenting findingstechnical expertise regarding data models database design development data mining segmentation techniquesexposure working global teamspassion research explorationbanking financial background preferred abity work team independentlyciti canada equal opportunity employer accordingly make accommodations respond needs people disabities including without mitation physical mental health disabities recruitment process otherwise accordance law iniduals view aboriginals members visible minority raciazed communities people disabities encouraged apply job family group technology job family business analysis cent services time type fl time citi equal opportunity affirmative action employer quafied appcants receive consideration without regard race color region sex sexual orientation gender identity national origin disabity status protected veteran citigroup inc subsidiaries citi invite quafied interested appcants apply career opportunities person disabity need reasonable accommodation use search tools apply career opportunity review accessibity citi view eeo law poster view eeo law supplement view eeo pocy statement view pay transparency posting,"Mississauga, Ontario, Canada"
Data Analyst,king college london,job descriptionking technology evaluation centre kitec looking data analyst facitate evaluation trials medical devices digital ai health technologies nice nhs help start ups smes develop provide evidentiary support value proposition main purpose post work senior medical statistician senior health economist configure maintain trial databases purpose analysis also include preparing basic statistical summary reports working research groups prepare grant appcations involving power calcations sample sizes role supports kitec work generating primary evidence research facitation evaluation studies based randomised controlled trials real world data excellent communication skills paramount order able discuss data needs non speciasts opportunity role influencing adoption healthcare innovation national level post offered fixed term contract months possibity extension subject funding fl time post fl time equivalent flexible hybrid working key responsibities assist collection vadation reporting cnical information medical technology evaluation trials include ensuring data maintained developed way provides robust reable information interested parties assist reporting trial data including generation distribution regar reports summary analysis requests support analysis planning management operational needs across projects ensure accurate timely meaningf information available support service devery including identifying requirements members staff specifying requirements solutions developing solutions providing training staff use information ctivate strong working relationships collaborators order understand research questions ensure answered liaise kcl gstt digital research environment ensure audit research logged researchers aware data protection responsibities work partnership information services ict departments ensure kcl pocies information standards maintained behalf kitec ensure national data security requirements met data archived centrased databases secure fashion assist information governance compance data systems regarly audit report director key standards highght issues director data quaty completeness integrity may impcations current projects investigate take relevant action along team members remedy review maintain data quaty assurance pocy collaboration senior staff ensuring kept date reflects monitoring local national requirements standards st responsibities may exhaustive post holder required undertake tasks responsibities may reasonably expected within scope grading post skills knowledge experienceessential criteria st class honours degree equivalent relevant area science engineering health related field good quantitative statistical skills experience data analysis knowledge database structures working mti discipnary team cnical academic environment excellent communication skills abity explain trial data structure range audiences abity estabsh maintain effective working relationships colleagues within mtidiscipnary team well external collaborators experience producing high quaty outputs short external deadnes highly organised meticous management conduct researchdesirable criteria msc phd level quafication quantitative analysis related subject experience writing pubcation experience cnical research governance processes,"St Thomas, Ontario, Canada"
Data Analyst (Remote),cognizant microsoft business group,join team passionate thought leaders dynamic collaborative environment cognizant microsoft business group apped innovation team hiring looking next data analyst join us microsoft business group mbg cloud first fl service microsoft partner committed devering innovative technology solutions solve human challenges compelled core values drive transformational rests cents across company sizes geographies industries mbg team devers fl fecycle solutions project inception planning deployment ongoing support maintenance shod work microsoft business group mti award winning business official award winning microsoft partner award winning databricks partner official github partner cloud native organization growing international diverse teams hugely collaborative environment ideas knowledge sharing actively encouraged impact role data analyst mbg goal enable businesses maximize value data assets responsible designing building scalable data models cleaning transforming data enabng advanced analytics capabities reports visuazations process raw data relevant insights based identified business requirements dever relevant insights data analyst day day commanding strong understanding strategic infrastructure preferably azure required make business intelgence rollout success business scale development presales package drive business intelgence data modelng offering constancy business contribute lead large scale dw bi projects devering end end data analytics devery customers data modelng capabities including designing effective bi data models shaping approach governance deployment dw bi array organizations making large complex data accessible understandable usable creating charts graphs histograms geographical maps visual models help explain meaning large volumes data isolate areas interest transforming improving integrating data many sources depending business requirements combining data rest sets across mtiple cloud premises sourcesfinding hidden patterns using datadevering information usef appeang way users creating rich graphical dashboards reportswhat type experience data analyst need successf role natural leader strong experience end end roll dw bi solutions vision technology transform business drive ctural change within businesses externally internally working collaboratively internally senior leads partners dever solutions drive integrated vision dw bi cloud technology embedding tangible accessible data led change business strong understanding microsoft dw bi enterprise methodologies roll methodologies strong understanding dimensional modeng concepts facts vs dimensions surrogate keys data granarityabity lead guide discussions conceptual logical physical modelngstrong experience business intelgence developer using microsoft bi stack power bi expert knowledge dax mdx analysis services large deployments power biworking experience sql including writing debugging tuning sql queries creating sql tables views stored procedures strong understanding relational databasesexperience designing etl processes including knowledge data warehousing strategies theories articate document architectural solutions processes estabsh maintain collaborative relationships stakeholders knowledge cloud computing preferably azure excellent confident communication presentations skillscertifications desirable exam da analyzing data microsoft power bi exam pl microsoft power bi data analystdoes data analyst role require travel role currently working home however travel local office may required future security responsibityall employees must act accordance cognizant microsoft business group corporate security standards cognizant microsoft business group mbg cognizant microsoft business group mbg singar purpose advancing cloud modernization journey focus simpcity scale microsoft business group end end microsoft centric cloud solutions managed services provider leverages extensive experience ip dever constant innovation business value powered microsoft cloud platform designed reflect think cloud transformation platform native perspective dedicated experts trusted blueprint dever digital difference microsoft cloud azure microsoft dynamics turn digital potential real business performance speed arewe destination employer microsoft committed professionals providing depth speciazation differentiated career paths authentic conversations build connections grow careers centering around employees global team certified constants across relevant technologies coupled cloud focused advisory constants supercharged talent world best microsoft partner prioritize investing expanding equal employment opportunityas global cloud transformation constancy business cognizant microsoft business group mbg understands ersity inclusion workplace brings benefits customers business importantly people committed inclusive employer provide equal employment opportunities employees appcants employment cognizant microsoft business group mbg prohibits discrimination harassment type without regard race color region age sex national origin disabity status genetics protected veteran status sexual orientation gender identity expression factors protected federal state local laws pocy appes terms conditions employment including aspects recruiting employment fe cycle cognizant microsoft business group mbg,"Toronto, Ontario, Canada"
Data Analyst - Loans,tata constancy services,skills required proficient using sql data analysis competent ms excel vba macro must strong data modelng data mapping data mining knowledge etl understanding functional workflows automate transfer data loading processing data tables reporting via user interface data visuazation experience working bi tools tableau experience wod advantageous well versed using jira requirement management test management good knowledge loans business operations clear understanding loans originations loans fecycles thorough understanding loans operations sod understanding systems business processes within banking domainrole utize technical expertise ensure data accurate high quaty data subsequently analyzed presented way assists businesses making informed decisions lead support research activities using statistical tools identify analyze interpret patterns trends complex data sets cod prove beneficial determining diagnosis symptoms implementation preventive measures plan coordinate activities data administrator ensure regar accurate updates databases vadation checks new enhancements work programmers engineers tech management heads identify process improvement opportunities propose system modifications devise data governance strategies document functional non functional business requirements strong stakeholder management ilcit accurate compelng book requirements considering stakeholders perform business data analysis evaluating business processes business requirements communicate rests key stakeholders form user stories business technical documents ensure business requirements captured correctly prioritizing initiatives based business needs requirements lead ongoing reviews business processes develop optimization strategies clearly communicate proposed technical solution achieve buy stakeholders ensuring solutions fit purpose whilst considering technical compatibity coordinate complete devery fecycle said technical solution effectively communicating requirements plans cross functional team members management monitoring deverables ensuring timely completion projects,"Mississauga, Ontario, Canada"
Data Analyst,vubiquity,overview vubiquity amdocs company nasdaq dox global media entertainment technologies products services provider vubiquity provides estabshed expertise innovation across whole media supply chain content processing distribution direct consumer streaming monetization systems integration professional services extensive range core competencies rapidly flexibly deployed world leading content owners service providers trust vubiquity power consumer facing entertainment experiences overviewa data analytics professional serves focal point data queries reporting insight providing data analysis drawing insights different aspects based domain expertise ideal candidate works well team responsible internal customer facing outputs mtiple stakeholders within business responsibities responsibities include mited data focal point data query reporting insight provide data analysis different aspects based domain expertise extract major insights conclusions data analysis build models identify trends perform end end operation checks vadation provide relevant stakeholders main takeaways recommendation support decision making power bi report development customer facing internal stakeholders building analysis services reporting models developing visual reports kpi scorecards dashboards using power bi desktop connecting data sources importing data transforming data business intelgence responsible design methodology project documentation skills quafications analytical thinking translating data informative reports visuals good communication skills must able discuss requirements effectively cent teams internal teams making dax queries advanced level calcations visuazations power bi desktop able develop tabar mtidimensional models compatible data warehouse standards capable implementing row level security data along understanding appcation security layer models power bi experienceexperience bi tools systems power bi tableau sap excellence standardsrests customer valueprofessional capabitiesteamwork collaborationlearning versatitychange agityengagement positive attitudedisclaimerthe statements intended describe general nature level work performed people assigned classification construed exhaustive st responsibities duties skills required personnel classified personnel may required perform duties outside normal responsibities time time needed love job company built positive relationships collaboration opportunity build strong business relationships manage mtiple business relationships collaborate people corporate field opportunity work independently fast paced environment lead projects vubiquity amdocs company equal opportunity employer welcome appcants backgrounds committed fostering erse inclusive workforce,"Toronto, Ontario, Canada"
