title,company,description,location
Data Analyst - Recent Graduate,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary seeking world class problem solvers passion data relentless focus execution devery successf healthy combination technical skills business acumen data analyst generate insights conducting extensive analyses paypal rich data process develop deep understanding payments business site functionaty strengthen analytic leadership presentation skills gain exposure wide variety functional teams within paypal job description key responsibitiesunderstand make data visually appeang simple navigate comprehend end users aggregate data various sources construct streamned data pipenes integrate data mtiple paypal systems identify key metrics build exec facing dashboards track progress business highest priority initiatives identify key business levers estabsh cause effect perform analyses communicate key findings various stakeholders facitate data driven decision making work closely across matrix teams ke finance marketing product engineering senior executives lead participate special projects initiatives innovate implement large scale quaty improvements processes systems conducting data analysis making recommendations troubleshooting technical issues refining processes around customer support basic requirements experience mtiple following python java tableau jupyter notebooks teradata hadoop hive oracle javascript sql airflow linux perl php excellent understanding computer science fundamentals data structures algorithms demonstrated experience famiarity ease handng large data sets crunching numbers information retrieval search recommendation classification experience human judgment user interface experience strong written verbal communication skills abity translate complex problems simpler terms effectively influence peers senior leadership recent graduate position information requirements recent graduate fl time position must graduated within past months graduating spring bachelor master degree computer science mathematics statistics related field accredited college university must reside u must able obtain authorization work u appcation processnote job posting general advertisement paypal data analyst opportunities recent graduates appcants asked complete skills assessment via hackerrank following assessment appcants hear back university recruiter next steps position location varies within u paypal office locationsglobaluniversitygraduatedataanalyticsour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,Buffalo-Niagara Falls Area
Data Analyst - Recent Graduate,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary seeking world class problem solvers passion data relentless focus execution devery successf healthy combination technical skills business acumen data analyst generate insights conducting extensive analyses paypal rich data process develop deep understanding payments business site functionaty strengthen analytic leadership presentation skills gain exposure wide variety functional teams within paypal job description key responsibitiesunderstand make data visually appeang simple navigate comprehend end users aggregate data various sources construct streamned data pipenes integrate data mtiple paypal systems identify key metrics build exec facing dashboards track progress business highest priority initiatives identify key business levers estabsh cause effect perform analyses communicate key findings various stakeholders facitate data driven decision making work closely across matrix teams ke finance marketing product engineering senior executives lead participate special projects initiatives innovate implement large scale quaty improvements processes systems conducting data analysis making recommendations troubleshooting technical issues refining processes around customer support basic requirements experience mtiple following python java tableau jupyter notebooks teradata hadoop hive oracle javascript sql airflow linux perl php excellent understanding computer science fundamentals data structures algorithms demonstrated experience famiarity ease handng large data sets crunching numbers information retrieval search recommendation classification experience human judgment user interface experience strong written verbal communication skills abity translate complex problems simpler terms effectively influence peers senior leadership recent graduate position information requirements recent graduate fl time position must graduated within past months graduating spring bachelor master degree computer science mathematics statistics related field accredited college university must reside u must able obtain authorization work u appcation processnote job posting general advertisement paypal data analyst opportunities recent graduates appcants asked complete skills assessment via hackerrank following assessment appcants hear back university recruiter next steps position location varies within u paypal office locationsglobaluniversitygraduatedataanalyticsour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"San Jose, CA"
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"Texas, United States"
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"Illinois, United States"
Entry-Level Data Analyst,federal savings bank,federal savings bank national bank mortgage lender currently seeking highly motivated skilled recent college graduates mortgage professionals years experience join team data analyst role data analyst work closely operations sales managers develop ongoing programs strategic analyses provide actionable data senior management position based spacious logan square corporate office candidates must able wilng work office data analyst key part centrazed team helps improve efficiency effectiveness bank duties responsibitiesdata analystdevelop implement maintain reporting analytics requested svp distill compcated data schemas easy understand visuazations inferences palatable manufacturing users executives others utize data identify trends opportunities growth improvement based context given datasetpromote idea generation collaborate identify new opportunitiescreate analytics encourage innovation across organization agn organization strategyfoster organizational cture drive collaboration embrace riskconduct self driven discovery smes develop fl scale projects scope implementationproduce high quaty deverables time spec within budgetproject managementcoordinate users bank resources service provider staff implement solutions meet exceed customer management regator expectationsmonitor project progress ensure deverables met communicate status sponsors throughout projectcreate appropriate documentation projects including task plans gantt charts resource plans status reports risk logs etc facitate integration among different technical teams planning executing projectsjob requirements quaficationsbachelor degree mathematics data analysis computer science econometrics related fieldproven analytics skills including mining evaluation analysis visuazation year experience data analysis year experience sql equivalent certification year experience domo tableau power bi analytics systempractical experience statistical analysis including spss sas r similar system preferredabity identify opportunities automate processes efficienciesexcellent analytical problem identification structuring solving skills abity design solutionsteam player abity thrive collaborative environmentstrong written verbal communication skills abity develop poshed communications entire bank senior management staffabity estabsh maintain effective work relationships internally externally employees senior executivesmust self motivated team oriented able operate minimal direct managementproficient microsoft office suitewhat offerbase salary commensurate experiencegenerous paid time plus sick dayscomprehensive health dental vision insurance plans available includes company paid fe insurance competitive flex spending accounts fsas employee assistance programs eaps financial planning emotional support legal guidance work fe solutionspartial annual k matchemployee appreciation eventsa true team cture working towards one common goal helping homebuyers finance dream homes federal savings bank equal opportunity employer appcants considered employment without attention race color region sex sexual orientation gender identity national origin veteran disabity status,"Chicago, IL"
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,Greater Scranton Area
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"Tennessee, United States"
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"Indiana, United States"
Data Analyst,london approach,ideal candidate data analyst financial analyst position use passion data analytics provide insights business covering range topics responsible conducting recurring ad hoc analysis business users salary kschede days week onsite day remote usually friday responsibitiesunderstand day day issues business faces better understood datacompile analyze data related business issuesdevelop clear visuazations convey compcated data straightforward fashioncollaboratively build financial models reportsreview track trendsinvestigate research discrepanciesmaintain system code information systemcompile analyze dataprepare analyze operations financialsbuild trend reportsquaficationsbachelor master degree accounting finance years relevant data analysis financial analysis work,"Franklin, TN"
Data Analyst,paypal,paypal nasdaq pypl beeve every person right participate fly global economy mission democratize financial services ensure everyone regardless background economic standing access affordable convenient secure products services take control financial ves job description summary need know role looking risk analyst join team help efforts manage global seller risk strategy work complex task keeping fraudsters bad actors away paypal platform looking make impact red hot intersection e commerce onne payment financial risk management right place meet team paypal seller risk team responsible keeping paypal platform safe secure devering satisfactory experience sellers buyers exciting fast paced team contribution team members significantly impact paypal bottom ne well customers experience job description way impactrisk data analysts apply analytical technical skills researching data monitoring creating logics stop fraudent activity paypal platform analyze existing loss trends define logics solutions operational processes prevent devering best class customer experience paypal users risk data analysts work closely one another risk operations order keep learning current fraud also partner closely paypal product teams define features integrate risk prevention tools support business goals team members excited solving analytical problems bright responsible know follow also ke love hear day dayfight fraudent activity one domain ownership analyzing existing loss trends review specific cases research payments database incorporation feedback operations teams based data driven analysis formating risk solutions ensure optimal balance user experience business enablement operational expense loss exposure related proposed solutionswork closely product teams development new products identify potential gaps might create loss define requirements mitigate risks good understanding general business trends directions able put work broad business context work various partners within paypal coordinate execution fraud mitigation solutions demonstrate flexibity needed succeed within matrix organization proactive comfortable working alongside stakeholders different domains develop controls monitoring dashboards ensure performance business goal regatory requirements business priorities need bring proficiency sql excelproficiency least one statistical analysis tool sas r python hadoopstrong analytical skills abity build quick estimates using back envelope analysis structure needed execute complex analyses pl together business cases navigate mtidimensional sets tradeoffs job calls comfort data abity manipate question vadity interpret develop recommendations based itstrong written oral interpersonal skills including abity explain present analysisdedicated proactive curious eager learn new approaches methodologies mustour benefits paypal committed building equitable inclusive global economy without important asset offer benefits help thrive every stage fe champion financial physical mental health offering valuable benefits resources help care whole great benefits including flexible work environment employee shares options health fe insurance learn benefits please visit https www paypalbenefits comwho learn cture community visit https pypl com defat aspxpaypal remained forefront digital payment revolution years leveraging technology make financial services commerce convenient affordable secure paypal platform empowering milon consumers merchants markets join thrive global economy information visit paypal com paypal provides equal employment opportunity eeo persons regardless age color national origin citizenship status physical mental disabity race region creed gender sex pregnancy sexual orientation gender identity expression genetic information marital status status regard pubc assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodations quafied iniduals disabities unable submit appcation incompatible assistive technology disabity please contact us paypalglobaltalentacquisition paypal com part paypal commitment employees health safety estabshed office covid protocols requirements based expert guidance depending location might include covid vaccination requirement employee whose role requires work onsite employees may request reasonable accommodation based medical condition regious beef prevents vaccinated req id r,"Wisconsin, United States"
